"","mouse_pair_id","cor","ortho"
"127","2726_ID",0.224740415072124,"pseudopairs_in_mouse_not_human"
"128","2727_ID",-0.308697518367059,"pseudopairs_in_mouse_not_human"
"129","2732_ID",-0.344664100198872,"pseudopairs_in_mouse_not_human"
"130","2733_ID",NA,"pseudopairs_in_mouse_not_human"
"131","2742_ID",0.0860131148079523,"pseudopairs_in_mouse_not_human"
"132","2743_ID",-0.135020254557389,"pseudopairs_in_mouse_not_human"
"133","2748_ID",NA,"pseudopairs_in_mouse_not_human"
"134","2761_ID",-0.225028124148346,"pseudopairs_in_mouse_not_human"
"135","2769_ID",-0.0295670082152336,"pseudopairs_in_mouse_not_human"
"136","2772_ID",-0.0256566938524732,"pseudopairs_in_mouse_not_human"
"137","2798_ID",-0.39162045775592,"pseudopairs_in_mouse_not_human"
"138","2800_ID",NA,"pseudopairs_in_mouse_not_human"
"139","2801_ID",0.101587965172754,"pseudopairs_in_mouse_not_human"
"140","2807_ID",-0.00245909702089624,"pseudopairs_in_mouse_not_human"
"141","2814_ID",0.121597198048532,"pseudopairs_in_mouse_not_human"
"142","2826_ID",-0.0523498369515695,"pseudopairs_in_mouse_not_human"
"143","2833_ID",-0.201431898679378,"pseudopairs_in_mouse_not_human"
"144","2834_ID",-0.0335461882703022,"pseudopairs_in_mouse_not_human"
"145","2839_ID",-0.0798816568047337,"pseudopairs_in_mouse_not_human"
"146","2844_ID",NA,"pseudopairs_in_mouse_not_human"
"147","2857_ID",NA,"pseudopairs_in_mouse_not_human"
"148","2865_ID",0.419434749296374,"pseudopairs_in_mouse_not_human"
"149","2866_ID",0.0525691552451455,"pseudopairs_in_mouse_not_human"
"150","2871_ID",NA,"pseudopairs_in_mouse_not_human"
"151","2885_ID",NA,"pseudopairs_in_mouse_not_human"
"152","2889_ID",0.345520345263561,"pseudopairs_in_mouse_not_human"
"153","2895_ID",-0.199440374180821,"pseudopairs_in_mouse_not_human"
"154","2897_ID",0.156396892402951,"pseudopairs_in_mouse_not_human"
"155","2916_ID",-0.12472961248891,"pseudopairs_in_mouse_not_human"
"156","2924_ID",NA,"pseudopairs_in_mouse_not_human"
"157","2927_ID",-0.176368905375665,"pseudopairs_in_mouse_not_human"
"158","2931_ID",-0.0185030613841217,"pseudopairs_in_mouse_not_human"
"159","2936_ID",0.135861218495647,"pseudopairs_in_mouse_not_human"
"160","2945_ID",0.203264909522831,"pseudopairs_in_mouse_not_human"
"161","2946_ID",NA,"pseudopairs_in_mouse_not_human"
"162","2951_ID",NA,"pseudopairs_in_mouse_not_human"
"163","2960_ID",NA,"pseudopairs_in_mouse_not_human"
"164","2961_ID",-0.112966508825717,"pseudopairs_in_mouse_not_human"
"165","2969_ID",0.196789318308078,"pseudopairs_in_mouse_not_human"
"166","297_ID",0.125826580618647,"pseudopairs_in_mouse_not_human"
"167","2983_ID",-0.383062991037286,"pseudopairs_in_mouse_not_human"
"168","301_ID",-0.0174249404182788,"pseudopairs_in_mouse_not_human"
"169","3025_ID",0.186944443223304,"pseudopairs_in_mouse_not_human"
"170","3029_ID",0.544531570262498,"pseudopairs_in_mouse_not_human"
"171","3031_ID",0.257211252590203,"pseudopairs_in_mouse_not_human"
"172","3047_ID",-0.234575486651183,"pseudopairs_in_mouse_not_human"
"173","3054_ID",NA,"pseudopairs_in_mouse_not_human"
"174","3065_ID",NA,"pseudopairs_in_mouse_not_human"
"175","3066_ID",NA,"pseudopairs_in_mouse_not_human"
"176","3068_ID",-0.034678565833874,"pseudopairs_in_mouse_not_human"
"177","3069_ID",NA,"pseudopairs_in_mouse_not_human"
"178","3070_ID",NA,"pseudopairs_in_mouse_not_human"
"179","3071_ID",NA,"pseudopairs_in_mouse_not_human"
"180","3072_ID",NA,"pseudopairs_in_mouse_not_human"
"181","3090_ID",NA,"pseudopairs_in_mouse_not_human"
"182","3094_ID",0.162593151932963,"pseudopairs_in_mouse_not_human"
"183","3107_ID",-0.242327314747074,"pseudopairs_in_mouse_not_human"
"184","310_ID",0.275219678337325,"pseudopairs_in_mouse_not_human"
"185","3111_ID",NA,"pseudopairs_in_mouse_not_human"
"186","3113_ID",0.25921542981258,"pseudopairs_in_mouse_not_human"
"187","3130_ID",-0.00105838971515723,"pseudopairs_in_mouse_not_human"
